DEBUG:root:Time[0.00000 ms]: Job[ 0], ARRIVE, gpt-2
DEBUG:root:Time[0.00000 ms]: Job[ 0], START, G12-G13
DEBUG:root:Time[88.88456 ms]: Job[ 1], ARRIVE, gpt-2
DEBUG:root:Time[88.88456 ms]: Job[ 1], START, G8-G9
DEBUG:root:Time[819.02413 ms]: Job[ 2], ARRIVE, gpt-4
DEBUG:root:Time[819.02413 ms]: Job[ 2], START, G0-G4-G5-G1
DEBUG:root:Time[1917.28903 ms]: Job[ 3], ARRIVE, resnet50-2
DEBUG:root:Time[1917.28903 ms]: Job[ 3], START, G14-G15
DEBUG:root:Time[2536.89471 ms]: Job[ 4], ARRIVE, mobilenet-1
DEBUG:root:Time[2536.89471 ms]: Job[ 4], START, G10
DEBUG:root:Time[3387.51589 ms]: Job[ 5], ARRIVE, gpt-2
DEBUG:root:Time[3387.51589 ms]: Job[ 5], START, G6-G7
DEBUG:root:Time[3757.71302 ms]: Job[ 6], ARRIVE, mobilenet-4
DEBUG:root:Time[3914.49814 ms]: Job[ 7], ARRIVE, gpt-2
DEBUG:root:Time[3914.49814 ms]: Job[ 7], START, G2-G3
DEBUG:root:Time[3923.79232 ms]: Job[ 3], END, 2006.5032943469844
DEBUG:root:Time[4390.23250 ms]: Job[ 6], START, G10-G11-G14-G15
DEBUG:root:Time[4409.34471 ms]: Job[ 4], END, 1872.4500000000003
DEBUG:root:Time[4609.75463 ms]: Job[ 8], ARRIVE, mobilenet-4
DEBUG:root:Time[5030.60990 ms]: Job[ 9], ARRIVE, gpt-4
DEBUG:root:Time[5378.80096 ms]: Job[10], ARRIVE, gpt-2
DEBUG:root:Time[5924.69113 ms]: Job[11], ARRIVE, mobilenet-4
DEBUG:root:Time[5949.44092 ms]: Job[12], ARRIVE, gpt-4
DEBUG:root:Time[6047.06109 ms]: Job[13], ARRIVE, mobilenet-2
DEBUG:root:Time[6420.75225 ms]: Job[14], ARRIVE, gpt-4
DEBUG:root:Time[6437.31012 ms]: Job[15], ARRIVE, gpt-4
DEBUG:root:Time[6632.23314 ms]: Job[16], ARRIVE, vgg16-2
DEBUG:root:Time[7270.46529 ms]: Job[10], START, G10-G11
DEBUG:root:Time[7270.46529 ms]: Job[13], START, G14-G15
DEBUG:root:Time[7270.63127 ms]: Job[ 6], END, 3512.9182532073396
DEBUG:root:Time[7595.50886 ms]: Job[17], ARRIVE, vgg16-1
DEBUG:root:Time[7912.32164 ms]: Job[18], ARRIVE, gpt-2
DEBUG:root:Time[7932.23426 ms]: Job[ 7], END, 4017.736120857661
DEBUG:root:Time[7936.65190 ms]: Job[17], START, G2
DEBUG:root:Time[8467.80506 ms]: Job[19], ARRIVE, mobilenet-2
DEBUG:root:Time[8871.37244 ms]: Job[18], START, G2-G3
DEBUG:root:Time[8890.39190 ms]: Job[17], END, 1294.8830412715788
DEBUG:root:Time[9041.20538 ms]: Job[ 2], END, 8222.181247563412
DEBUG:root:Time[9045.62005 ms]: Job[19], START, G0-G1
DEBUG:root:Time[9045.62005 ms]: Job[16], START, G4-G5
DEBUG:root:Time[9410.35425 ms]: Job[20], ARRIVE, resnet50-2
DEBUG:root:Time[9560.38420 ms]: Job[13], END, 3513.323107218266
DEBUG:root:Time[9560.51908 ms]: Job[20], START, G14-G15
DEBUG:root:Time[9581.56900 ms]: Job[21], ARRIVE, gpt-4
DEBUG:root:Time[10525.99853 ms]: Job[19], END, 2058.1934769668223
DEBUG:root:Time[11094.97291 ms]: Job[22], ARRIVE, gpt-2
DEBUG:root:Time[11094.97291 ms]: Job[22], START, G0-G1
DEBUG:root:Time[12299.43781 ms]: Job[23], ARRIVE, mobilenet-1
DEBUG:root:Time[12426.49610 ms]: Job[20], END, 3016.1418446608495
DEBUG:root:Time[12432.56274 ms]: Job[23], START, G14
DEBUG:root:Time[12612.02210 ms]: Job[ 1], END, 12523.137543859644
DEBUG:root:Time[12991.67262 ms]: Job[24], ARRIVE, vgg16-1
DEBUG:root:Time[12991.67262 ms]: Job[24], START, G15
DEBUG:root:Time[13339.03173 ms]: Job[25], ARRIVE, gpt-2
DEBUG:root:Time[13339.03173 ms]: Job[25], START, G8-G9
DEBUG:root:Time[13748.24088 ms]: Job[ 5], END, 10360.724990253413
DEBUG:root:Time[13941.23950 ms]: Job[26], ARRIVE, resnet50-2
DEBUG:root:Time[13953.42356 ms]: Job[26], START, G6-G15
DEBUG:root:Time[13967.59262 ms]: Job[24], END, 975.9200000000001
DEBUG:root:Time[14009.36274 ms]: Job[23], END, 1709.9249362025603
DEBUG:root:Time[14028.18803 ms]: Job[14], START, G14-G7-G10-G11
DEBUG:root:Time[14057.91484 ms]: Job[10], END, 8679.113883467606
DEBUG:root:Time[14322.88691 ms]: Job[27], ARRIVE, gpt-4
DEBUG:root:Time[14440.93899 ms]: Job[28], ARRIVE, vgg16-2
DEBUG:root:Time[14454.00981 ms]: Job[29], ARRIVE, resnet50-2
DEBUG:root:Time[15093.30074 ms]: Job[30], ARRIVE, mobilenet-2
DEBUG:root:Time[15161.76269 ms]: Job[18], END, 7249.441054192686
DEBUG:root:Time[15162.00601 ms]: Job[30], START, G2-G3
DEBUG:root:Time[15505.20528 ms]: Job[31], ARRIVE, mobilenet-2
DEBUG:root:Time[16829.64547 ms]: Job[30], END, 1736.3447308003651
DEBUG:root:Time[16829.86333 ms]: Job[31], START, G2-G3
DEBUG:root:Time[16881.53929 ms]: Job[32], ARRIVE, vgg16-4
DEBUG:root:Time[17471.58029 ms]: Job[29], START, G4-G5
DEBUG:root:Time[17487.67152 ms]: Job[16], END, 10855.438376920261
DEBUG:root:Time[17975.38521 ms]: Job[33], ARRIVE, mobilenet-4
DEBUG:root:Time[18038.09195 ms]: Job[14], END, 11617.339701751578
DEBUG:root:Time[18040.60725 ms]: Job[27], START, G10-G7-G14-G11
DEBUG:root:Time[18477.81436 ms]: Job[31], END, 2972.6090848759213
DEBUG:root:Time[18477.97515 ms]: Job[28], START, G2-G3
DEBUG:root:Time[18876.11685 ms]: Job[34], ARRIVE, gpt-4
