0,572.00
1,572.00
2,587.70
3,587.70
4,587.70
5,572.00
6,587.70
7,587.70
8,587.70
9,572.00
10,697.58
11,587.70
12,587.70
13,572.00
14,572.00
15,572.00
16,650.49
17,587.70
18,572.00
19,572.00
20,572.00
21,572.00
22,572.00
23,572.00
24,572.00
25,587.70
26,587.70
27,603.39
28,572.00
29,572.00
30,572.00
31,572.00
32,572.00
33,572.00
34,572.00
35,572.00
36,650.49
37,572.00
38,572.00
39,572.00
40,572.00
41,572.00
42,572.00
43,572.00
44,572.00
45,838.86
46,572.00
47,572.00
48,572.00
49,572.00
50,572.00
51,572.00
52,572.00
